provider,service_category,service_name,sku_hint,price_usd,unit_raw,unit_standardized,price_period,region,pricing_link,source_notes
AWS,Storage,Amazon S3,Standard,0.023,per GB per month,GB,month,us-east-1,https://aws.amazon.com/s3/pricing/,public pricing (approx; verify)
AWS,Storage,Amazon S3,Intelligent-Tiering (Frequent),0.023,per GB per month,GB,month,us-east-1,https://aws.amazon.com/s3/pricing/,public pricing (approx; verify)
AWS,Storage,Amazon S3,Intelligent-Tiering (Infrequent),0.0125,per GB per month,GB,month,us-east-1,https://aws.amazon.com/s3/pricing/,public pricing (approx; verify)
AWS,Storage,Amazon S3,One Zone-IA,0.01,per GB per month,GB,month,us-east-1,https://aws.amazon.com/s3/pricing/,public pricing (approx; verify)
AWS,Storage,Amazon S3,Glacier Instant Retrieval,0.004,per GB per month,GB,month,us-east-1,https://aws.amazon.com/s3/pricing/,public pricing (approx; verify)
AWS,Storage,Amazon S3,Glacier Flexible Retrieval,0.0036,per GB per month,GB,month,us-east-1,https://aws.amazon.com/s3/pricing/,public pricing (approx; verify)
AWS,Storage,Amazon S3,Glacier Deep Archive,0.00099,per GB per month,GB,month,us-east-1,https://aws.amazon.com/s3/pricing/,public pricing (approx; verify)
AWS,Block Storage,Amazon EBS,gp3 SSD,0.08,per GB per month,GB,month,us-east-1,https://aws.amazon.com/ebs/pricing/,public pricing (approx; verify)
AWS,Block Storage,Amazon EBS,gp2 SSD,0.1,per GB per month,GB,month,us-east-1,https://aws.amazon.com/ebs/pricing/,public pricing (approx; verify)
AWS,Block Storage,Amazon EBS,io1 SSD (vol),0.125,per GB per month,GB,month,us-east-1,https://aws.amazon.com/ebs/pricing/,public pricing (approx; verify)
AWS,Block Storage,Amazon EBS,st1 HDD,0.045,per GB per month,GB,month,us-east-1,https://aws.amazon.com/ebs/pricing/,public pricing (approx; verify)
AWS,Block Storage,Amazon EBS,sc1 HDD,0.015,per GB per month,GB,month,us-east-1,https://aws.amazon.com/ebs/pricing/,public pricing (approx; verify)
